""	"rateTrain"	"rateAirplane"	"Attractiveness"	"ManipDest"	"ManipInfo"	"ManipTax"	"PreferTrain"	"PreferAirplane"	"ImportPrice"	"ImportTime"	"ImportComfort"	"SchipholTrain"	"SchipholCar"	"CO2Comp"	"CO2Comp5E"	"CO2Comp7E"	"CO2CompMax"	"Nep01"	"Nep02"	"Nep03"	"Nep04"	"Nep05"	"Bif01"	"Bif02"	"Bif03"	"Bif04"	"Bif05"	"Bif06"	"Bif07"	"Guilt01"	"Guilt02"	"Guilt03"	"Guilt04"	"Guilt05"	"Big01"	"Big02"	"Big03"	"Big04"	"Big05"	"Big06"	"Big07"	"Big08"	"Big09"	"Big10"	"dGender"	"YrBirth"	"dIBA"	"SatFac"	"HrPWork"	"HrVWork"	"HrClass"	"HrStud"	"cLiving"	"cLocate"	"dPreMas"	"dSports"	"dFraternity"	"dAssoc"	"dAbroad"	"CheckDest"	"CheckInfo"	"CheckTax"	"avgEnvironBelief"	"avgGuiltFeel"	"avgPersonal"	"f.ManipInfo"
"358"	40	60	73	"Berlin"	1	1	66	37	77	38	54	3	3	2	1	1	16	5	3	2	4	5	2	1	1	1	1	1	2	2	3	3	2	4	2	4	5	4	2	4	3	2	4	2	1	1999	1	67	12	0	12	15	3	4	2	2	2	2	1	2	2	1	5	2.8	3	"Yes"
"359"	0	100	80	"Londen"	1	1	30	70	100	70	30	4	5	2	1	1	10	6	2	2	2	6	2	1	2	1	2	1	2	3	2	4	4	4	5	2	2	1	4	2	1	5	5	4	2	2000	1	70	10	0	16	10	1	1	2	2	2	2	1	1	1	1	6	2.2	2.625	"Yes"
"360"	20	80	81	"Londen"	1	3	40	60	50	50	20	3	2	2	1	1	15	5	4	3	5	4	1	2	2	1	1	1	2	2	2	3	3	4	3	5	3	4	4	4	3	4	4	4	1	1998	1	79	8	6	4	15	1	2	2	1	1	2	1	1	2	3	4.2	2.4	3.5	"Yes"
"361"	40	60	37	"Marseille"	1	1	72	28	50	55	60	2	2	1	1	2	5	3	2	4	5	5	1	2	2	1	1	1	2	3	2	3	4	3	4	4	4	3	1	5	4	5	4	4	1	1999	1	50	15	0	15	2	3	1	2	1	2	1	2	3	2	1	4.2	2.6	3.125	"Yes"
"362"	0	100	75	"Marseille"	2	1	70	30	70	25	5	2	5	2	2	2	0	1	1	5	7	1	1	2	2	1	1	1	1	3	1	3	5	3	4	2	1	4	1	4	3	5	2	5	1	1996	1	20	40	0	2	6	2	1	1	2	2	1	1	3	1	1	2.6	2.2	3.625	"No"
"363"	0	100	50	"Marseille"	1	1	25	75	89	77	44	2	5	2	2	2	0	5	6	2	6	4	2	1	2	1	2	1	2	1	3	5	5	5	4	5	2	1	1	4	3	5	4	4	1	2000	1	65	10	0	15	10	2	2	2	2	1	2	2	3	2	1	3.8	1.4	3.25	"Yes"
"364"	45	100	60	"Marseille"	1	1	100	50	100	40	49	1	2	1	1	1	15	6	2	4	7	7	2	1	2	1	2	1	2	1	1	3	5	4	2	5	3	5	4	5	3	5	3	5	1	1992	1	85	16	0	20	16	5	4	2	2	1	2	1	3	2	1	4.8	1.6	4.125	"Yes"
"365"	0	100	50	"Londen"	2	3	NA	100	40	30	30	1	4	2	2	2	0	3	4	1	1	1	1	1	2	2	1	2	2	1	1	1	1	5	4	4	3	5	2	5	2	3	1	3	1	1999	1	67	16	0	10	6	3	3	2	1	2	2	2	1	1	3	4.4	2.6	3.875	"No"
"366"	30	70	77	"Berlin"	2	2	100	38	36	22	42	4	4	1	1	1	10	6	2	3	3	5	2	1	2	1	2	2	1	4	2	1	2	1	4	4	5	3	2	4	4	3	2	4	1	2000	1	81	7	2	20	10	3	2	2	1	2	2	2	2	1	2	5.4	4	2.875	"No"
"367"	53	71	61	"Berlin"	2	2	81	20	74	53	15	3	3	2	1	1	750	5	2	2	3	5	1	1	2	1	1	1	2	1	4	2	2	2	3	4	3	4	4	5	2	5	2	3	2	1998	1	76	0	0	12	20	2	2	2	1	1	2	2	2	1	2	5.4	3.4	4	"No"
